Adam-and-Eve	Arum maculatum	1
African Wonder Tree	Ricinus communis	1
Alocasia	Alocasia spp.	1
Aloe	Aloe vera	1
Amaryllis	Amaryllis spp.	1
Ambrosia Mexicana	Chenopodium botrys	1
American Bittersweet	Celastrus scandens	1
American Holly	Ilex opaca	1
American Mandrake	Podophyllum peltatum	1
American Yew	Taxus canadensus	1
Andromeda Japonica	Pieris japonica	1
Angelica Tree	Aralia spinosa	1
Apple	Malus sylvestrus	1
Apricot	Prunus armeniaca	1
Arrow-Head Vine	Syngonium podophyllum	1
Arum	Arum maculatum	1
Arum Lily	Zantedeschia aethiopica	1
Asian Lily	Lilium asiatica	1
Asparagus Fern	Asparagus densiflorus cv sprengeri	1
Australian Ivy Palm	Brassaia actinophylla	1
Autumn Crocus	Colchicum autumnale	1
Azalea	Rhododendron spp	1
Baby Doll Ti Plant	Cordyline terminalis	1
Barbados Aloe	Aloe barbadensis	1
Barbados Lily	Hippeastrum spp.	1
Barbados Pride	Caesalpinia pulcherrima	1
Barbados Pride 2	Poinciana gilliesii	1
Bay Laurel	Laurus nobilis	1
Bead Tree	Melia azedarach	1
Begonia	Begonia spp.	1
Bergamot Orange	Citrus Aurantium	1
Bird of Paradise	Caesalpinia gilliesii	1
Bird of Paradise 2	Poinciana gilliesii	1
Bird of Paradise Flower	Strelitzia reginae	1
Bird's Tongue Flower	Strelitzia reginae	1
Bishop's Weed	Ammi majus	1
Bitter Root	Apocynum androsaemifolium	1
Black Calla	Arum palestinum	1
Black Cherry	Prunus serotina	1
Black Laurel	Leucothoe spp.	1
Black Nightshade	Solanum nigrum	1
Bobbins	Arum maculatum	1
Bog Laurel	Kalmia poliifolia	1
Borage	Borage officinalis	1
Boxwood	Buxus spp.	1
Branching Ivy	Hedera helix	1
Brazilwood	Poinciana gilliesii	1
Bread and Butter Plant	Coleus ampoinicus	1
Brunfelsia	Brunfelsia species	1
Buckeye	Aesculus spp	1
Buckwheat	Fagopyrum spp.	1
Buddhist Pine	Podocarpus macrophylla	1
Burning Bush	Euonymus atropurpurea	1
Buttercup	Ranunculus spp.	1
Butterfly Iris	Iris spuria	1
Caladium	Caladium hortulanum	1
Calamondin Orange	Citrus mitis	1
California Ivy	Hedera helix	1
Calla Lily	Zantedeschia aethiopica	1
Cape Jasmine	Gardenia jasminoides	1
Caraway	Carum carvi	1
Cardboard Cycad	Zamia furfuracea	1
Cardboard Palm	Zamia spp.	1
Cardinal Flower	Lobelia cardinalis	1
Carnation	Dianthus caryophyllus	1
